# format: v1
# Proxies that opened a TLS tunnel to raw.githubusercontent.com:443 and returned
# sixteen bytes of subs/all.txt, within 8 seconds. Nothing else qualifies.
#
# Regenerated 2026-09-25T22:47:44Z · 4350 entries · 2588 proved this run
# Density: 168/600 of a random sample worked on re-check (28%, measured 2026-09-25) — the file's only real quality score.
#
# Format: scheme://host:port | country | ms | days-alive
# Everything after the first space or | is ignored by the client, so this is safe.
#

http://181.37.240.89:999 | DO | 6952ms | 0d
http://181.232.190.121:999 | DO | 5626ms | 1d
http://185.27.144.16:999 | DO | 7331ms | 0d
http://185.27.144.53:999 | DO | 4951ms | 0d
http://185.27.144.129:999 | DO | 4370ms | 0d
http://190.110.36.195:999 | DO | 3853ms | 0d
http://200.88.220.49:999 | DO | 7550ms | 1d
http://217.76.245.80:999 | DO | 538ms | 0d
http://45.71.186.210:999 | EC | 4783ms | 0d
http://45.71.186.211:999 | EC | 2752ms | 1d
http://45.71.186.212:999 | EC | 6776ms | 1d
http://45.71.186.213:999 | EC | 6143ms | 0d
http://45.71.186.214:999 | EC | 5757ms | 1d
http://45.186.6.104:3128 | EC | 668ms | 0d
http://45.225.105.172:8080 | EC | 4794ms | 2d
http://177.53.215.196:1812 | EC | 6886ms | 0d
http://177.234.194.173:999 | EC | 7187ms | 1d
http://177.234.211.151:999 | EC | 3010ms | 0d
http://177.234.217.43:999 | EC | 3876ms | 2d
http://177.234.217.46:999 | EC | 5523ms | 0d
http://177.234.217.88:999 | EC | 6244ms | 0d
http://177.234.217.235:999 | EC | 1581ms | 1d
http://177.234.217.236:999 | EC | 3675ms | 2d
http://177.234.217.237:999 | EC | 2266ms | 1d
http://177.234.226.83:1994 | EC | 2862ms | 0d
http://177.234.236.133:8080 | EC | 7094ms | 0d
http://177.234.245.71:9696 | EC | 6413ms | 0d
http://181.78.194.249:999 | EC | 2693ms | 1d
http://181.78.195.137:999 | EC | 7264ms | 2d
http://181.78.205.7:999 | EC | 886ms | 2d
http://181.119.224.25:8080 | EC | 941ms | 10d
http://181.188.203.112:999 | EC | 4604ms | 1d
http://181.188.216.3:8080 | EC | 3341ms | 1d
http://181.233.50.233:8787 | EC | 7763ms | 1d
http://186.5.94.206:999 | EC | 1044ms | 1d
http://186.5.94.216:999 | EC | 3451ms | 0d
http://186.33.45.195:8080 | EC | 7370ms | 0d
http://186.101.251.197:8080 | EC | 5619ms | 0d
http://190.12.150.244:999 | EC | 3415ms | 2d
http://5.188.23.147:5555 | EE | 7347ms | 0d
http://41.33.60.42:8081 | EG | 2778ms | 2d
http://41.33.245.138:1976 | EG | 2862ms | 1d
http://41.33.245.138:1981 | EG | 1381ms | 2d
http://41.33.245.139:1976 | EG | 1185ms | 0d
http://41.33.245.139:1981 | EG | 1188ms | 0d
http://41.65.55.27:1976 | EG | 1972ms | 1d
http://41.65.55.27:1981 | EG | 5056ms | 3d
http://41.128.72.138:1981 | EG | 6893ms | 1d
http://41.128.77.76:1976 | EG | 3087ms | 0d
http://41.128.77.76:1981 | EG | 2321ms | 1d
http://41.196.16.234:1976 | EG | 2388ms | 0d
